"symptom","version","read","desc","possible","new_code"
"Abdominal bloating",3,"R073z","[d]flatulence, eructation and gas pain nos",0,1
"Abdominal bloating",3,"Ub1Sa","belching voice",1,1
"Abdominal bloating",3,"X76FC","bloating symptom",0,0
"Abdominal bloating",3,"X76d2","involuntary passage of flatulence",0,1
"Abdominal bloating",3,"XE0rC","flatulence/wind",0,1
"Abdominal bloating",3,"XM08M","burping",0,1
"Abdominal bloating",3,"XM08O","abdominal distension, gaseous",0,1
"Abdominal bloating",3,"XM1N0","wind symptom",0,1
"Abdominal bloating",3,"XM1N1","belching symptom",0,1
"Abdominal bloating",3,"Xa30B","burping in public",0,1
"Abdominal bloating",3,"Xa7V2","observation of flatulence",0,1
"Abdominal bloating",3,"Xa7Vf","abdominal distension",0,1
"Abdominal bloating",3,"XaBYS","flatulence symptom",0,1
"Abdominal bloating",3,"XaBsc","[d]flatulence nos",0,1
"Breast lump",2,"1A8..","breast lump symptom",0,0
"Breast lump",2,"1A82.","breast lump present",0,0
"Breast lump",2,"1A83.","breast lump detected by clinician examination",0,0
"Breast lump",2,"1A84.","breast lump detected by mammogram",0,0
"Breast lump",2,"1A85.","breast lump detected by partner",0,0
"Breast lump",2,"1A86.","breast lump detected by self-examination",0,0
"Breast lump",2,"1A8Z.","breast lump symptom nos",0,0
"Breast lump",2,"26B7.","lumpy breasts",0,0
"Breast lump",2,"26E..","o/e - breast lump palpated",0,0
"Breast lump",2,"26E2.","o/e-breast lump-nipple/central",0,0
"Breast lump",2,"26E3.","o/e-breast lump-upper in-quad",0,0
"Breast lump",2,"26E4.","o/e -breast lump-lower in-quad",0,0
"Breast lump",2,"26E5.","o/e-breast lump-upper out-quad",0,0
"Breast lump",2,"26E6.","o/e-breast lump-lower out-quad",0,0
"Breast lump",2,"26E7.","o/e-breast lump- axillary tail",0,0
"Breast lump",2,"26EZ.","o/e - breast lump palpated nos",0,0
"Breast lump",2,"26F..","o/e - breast lump size",0,0
"Breast lump",2,"26F1.","o/e - breast lump - pea size",0,0
"Breast lump",2,"26F2.","o/e - breast lump - plum size",0,0
"Breast lump",2,"26F3.","o/e-breast lump-tangerine size",0,0
"Breast lump",2,"26F4.","o/e - breast lump-orange size",0,0
"Breast lump",2,"26F5.","o/e-breast lump-grapefruit sze",0,1
"Breast lump",2,"26F6.","o/e - breast lump - melon size",0,1
"Breast lump",2,"26FZ.","o/e - breast lump size nos",0,0
"Breast lump",2,"26G..","o/e - breast lump consistency",0,0
"Breast lump",2,"26G1.","o/e - breast lump soft",0,0
"Breast lump",2,"26G2.","o/e - breast lump cystic",0,0
"Breast lump",2,"26G3.","o/e - breast lump hard",0,0
"Breast lump",2,"26GZ.","o/e - breast lump consist. nos",0,0
"Breast lump",2,"26H..","o/e - breast lump - outline",0,0
"Breast lump",2,"26H1.","o/e - breast lump smooth",0,0
"Breast lump",2,"26H2.","o/e - breast lump irregular",0,0
"Breast lump",2,"26HZ.","o/e-breast lump regularity nos",0,0
"Breast lump",2,"26I..","o/e - breast lump tethering",0,0
"Breast lump",2,"26I1.","o/e - breast lump not tethered",0,0
"Breast lump",2,"26I2.","o/e -breast lump fixed to skin",0,0
"Breast lump",2,"26I3.","o/e - breast lump fixed deep",0,0
"Breast lump",2,"26IZ.","o/e - breast lump tethered nos",0,0
"Breast lump",2,"K3171","breast mass",0,0
"Breast lump",3,".1A8.","Breast lump symptom",0,0
"Breast lump",3,".1A82","Breast lump present",0,0
"Breast lump",3,".1A83","Breast lump detected by clinician examination",0,0
"Breast lump",3,".1A84","Breast lump detected by mammogram",0,0
"Breast lump",3,".1A85","Breast lump detected by partner",0,0
"Breast lump",3,".1A86","Breast lump detected by self-examination",0,0
"Breast lump",3,".1A8Z","Breast lump symptom NOS",0,0
"Breast lump",3,".26E.","O/E - breast lump palpated",0,0
"Breast lump",3,".26E1","o/e - no breast lump palpable",0,1
"Breast lump",3,".26E2","O/E-breast lump-nipple/central",0,0
"Breast lump",3,".26E3","O/E-breast lump-upper in-quad",0,0
"Breast lump",3,".26E4","O/E -breast lump-lower in-quad",0,0
"Breast lump",3,".26E5","O/E-breast lump-upper out-quad",0,0
"Breast lump",3,".26E6","O/E-breast lump-lower out-quad",0,0
"Breast lump",3,".26E7","O/E-breast lump- axillary tail",0,0
"Breast lump",3,".26EZ","O/E - breast lump palpated NOS",0,0
"Breast lump",3,".26F.","O/E - breast lump size",0,0
"Breast lump",3,".26F1","O/E - breast lump - pea size",0,0
"Breast lump",3,".26F2","O/E - breast lump - plum size",0,0
"Breast lump",3,".26F3","O/E-breast lump-tangerine size",0,0
"Breast lump",3,".26F4","O/E - breast lump-orange size",0,0
"Breast lump",3,".26F5","o/e-breast lump-grapefruit sze",0,1
"Breast lump",3,".26F6","o/e - breast lump - melon size",0,1
"Breast lump",3,".26FZ","O/E - breast lump size NOS",0,0
"Breast lump",3,".26G.","O/E - breast lump consistency",0,0
"Breast lump",3,".26G1","O/E - breast lump soft",0,0
"Breast lump",3,".26G2","O/E - breast lump cystic",0,0
"Breast lump",3,".26G3","O/E - breast lump hard",0,0
"Breast lump",3,".26GZ","O/E - breast lump consist. NOS",0,0
"Breast lump",3,".26H.","O/E - breast lump regularity",0,0
"Breast lump",3,".26H1","O/E - breast lump smooth",0,0
"Breast lump",3,".26H2","O/E - breast lump irregular",0,0
"Breast lump",3,".26HZ","O/E-breast lump regularity NOS",0,0
"Breast lump",3,".26I.","O/E - breast lump tethering",0,0
"Breast lump",3,".26I1","O/E - breast lump not tethered",0,0
"Breast lump",3,".26I2","O/E -breast lump fixed to skin",0,0
"Breast lump",3,".26I3","O/E - breast lump fixed deep",0,0
"Breast lump",3,".26IZ","O/E - breast lump tethered NOS",0,0
"Breast lump",3,".7F11","breast lumpectomy",0,1
"Breast lump",3,".J41.","benign breast lump",0,1
"Breast lump",3,"1A8..","Breast lump symptom",0,0
"Breast lump",3,"1A82.","Breast lump present",0,0
"Breast lump",3,"1A83.","breast lump detected by clinician examination",0,0
"Breast lump",3,"1A84.","breast lump detected by mammogram",0,0
"Breast lump",3,"1A85.","breast lump detected by partner",0,0
"Breast lump",3,"1A86.","breast lump detected by self-examination",0,0
"Breast lump",3,"1A8Z.","Breast lump symptom NOS",0,0
"Breast lump",3,"26B7.","lumpy breasts",0,0
"Breast lump",3,"26E..","O/E - breast lump palpated",0,0
"Breast lump",3,"26E1.","o/e - no breast lump palpable",0,1
"Breast lump",3,"26E2.","O/E-breast lump-nipple/central",0,0
"Breast lump",3,"26E3.","O/E-breast lump-upper in-quad",0,0
"Breast lump",3,"26E4.","O/E -breast lump-lower in-quad",0,0
"Breast lump",3,"26E5.","O/E-breast lump-upper out-quad",0,0
"Breast lump",3,"26E6.","O/E-breast lump-lower out-quad",0,0
"Breast lump",3,"26E7.","O/E-breast lump- axillary tail",0,0
"Breast lump",3,"26EZ.","O/E - breast lump palpated NOS",0,0
"Breast lump",3,"26F..","O/E - breast lump size",0,0
"Breast lump",3,"26F1.","O/E - breast lump - pea size",0,0
"Breast lump",3,"26F2.","O/E - breast lump - plum size",0,0
"Breast lump",3,"26F3.","O/E-breast lump-tangerine size",0,0
"Breast lump",3,"26F4.","O/E - breast lump-orange size",0,0
"Breast lump",3,"26F5.","o/e-breast lump-grapefruit sze",0,1
"Breast lump",3,"26F6.","o/e - breast lump - melon size",0,1
"Breast lump",3,"26FZ.","O/E - breast lump size NOS",0,0
"Breast lump",3,"26G..","O/E - breast lump consistency",0,0
"Breast lump",3,"26G1.","O/E - breast lump soft",0,0
"Breast lump",3,"26G2.","O/E - breast lump cystic",0,0
"Breast lump",3,"26G3.","O/E - breast lump hard",0,0
"Breast lump",3,"26GZ.","O/E - breast lump consist. NOS",0,0
"Breast lump",3,"26H..","O/E - breast lump regularity",0,0
"Breast lump",3,"26H1.","O/E - breast lump smooth",0,0
"Breast lump",3,"26H2.","O/E - breast lump irregular",0,0
"Breast lump",3,"26HZ.","O/E-breast lump regularity NOS",0,0
"Breast lump",3,"26I..","O/E - breast lump tethering",0,0
"Breast lump",3,"26I1.","O/E - breast lump not tethered",0,0
"Breast lump",3,"26I2.","O/E -breast lump fixed to skin",0,0
"Breast lump",3,"26I3.","O/E - breast lump fixed deep",0,0
"Breast lump",3,"26IZ.","O/E - breast lump tethered NOS",0,0
"Breast lump",3,"71312","breast lumpectomy",0,1
"Breast lump",3,"K3171","Breast mass",0,0
"Breast lump",3,"XE1he","o/e - breast lump palpated",0,0
"Breast lump",3,"XE2Rd","benign breast lump",0,1
"Breast lump",3,"XM0AY","Breast mass",0,0
"Breast lump",3,"XM1YU","o/e - breast lump position",0,0
"Breast lump",3,"Xa4iQ","lumpy breasts",0,0
"Breast lump",3,"XaKis","Breast lump detected by clinician examination",0,0
"Breast lump",3,"XaKit","Breast lump detected by mammogram",0,0
"Breast lump",3,"XaKiu","Breast lump detected by partner",0,0
"Breast lump",3,"XaKiv","Breast lump detected by self-examination",0,0
"Change in bowel habit",2,"19EA.","altered bowel habit",0,0
"Change in bowel habit",2,"6643.","git symptom changes",0,0
"Change in bowel habit",2,"R078.","[d]change in bowel habit",0,0
"Change in bowel habit",3,".19EA","Change in bowel habit",0,0
"Change in bowel habit",3,".6643","GIT symptom changes",0,0
"Change in bowel habit",3,"19EA.","Change in bowel habit",0,0
"Change in bowel habit",3,"6643.","GIT symptom changes",0,0
"Change in bowel habit",3,"R078.","[d]change in bowel habit",0,0
"Dyspepsia",2,"195..","indigestion symptoms",0,0
"Dyspepsia",2,"1954.","indigestion",0,0
"Dyspepsia",2,"1958.","undiagnosed dyspepsia",0,0
"Dyspepsia",2,"195Z.","indigestion symptom nos",0,0
"Dyspepsia",2,"19B3.","excessive belching",0,0
"Dyspepsia",2,"8Hg5.","discharged from care of dyspepsia specialist nurse",0,1
"Dyspepsia",2,"8Hl0.","referral to dyspepsia specialist nurse",0,0
"Dyspepsia",2,"9NNK.","under care of dyspepsia specialist nurse",0,0
"Dyspepsia",2,"E2644","psychogenic dyspepsia",0,0
"Dyspepsia",2,"J101.","oesophagitis",0,0
"Dyspepsia",2,"J1011","acid reflux",0,0
"Dyspepsia",2,"J1012","chemical oesophagitis",0,0
"Dyspepsia",2,"J101y","other specified oesophagitis",0,0
"Dyspepsia",2,"J101z","oesophagitis nos",0,0
"Dyspepsia",2,"J10y4","acid reflux",0,1
"Dyspepsia",2,"J16y4","dyspepsia",0,0
"Dyspepsia",2,"J16yA","non-ulcer dyspepsia",0,1
"Dyspepsia",3,".195.","Indigestion symptoms",0,0
"Dyspepsia",3,".1954","Indigestion",0,0
"Dyspepsia",3,".1955","acid reflux",0,1
"Dyspepsia",3,".1958","Undiagnosed dyspepsia",0,0
"Dyspepsia",3,".195Z","Indigestion symptom NOS",0,0
"Dyspepsia",3,".19B3","Excessive belching",0,0
"Dyspepsia",3,".8Hg5","discharged from care of dyspepsia specialist nurse",0,1
"Dyspepsia",3,".8Hl0","Referral to dyspepsia specialist nurse",0,0
"Dyspepsia",3,".9NNK","Under care of dyspepsia specialist nurse",0,0
"Dyspepsia",3,".I212","oesophagitis",0,1
"Dyspepsia",3,".I264","dyspepsia",0,1
"Dyspepsia",3,"195..","Indigestion symptoms",0,0
"Dyspepsia",3,"1954.","Indigestion",0,0
"Dyspepsia",3,"1955.","acid reflux",0,1
"Dyspepsia",3,"1958.","undiagnosed dyspepsia",0,0
"Dyspepsia",3,"195Z.","Indigestion symptom NOS",0,0
"Dyspepsia",3,"19B3.","Excessive belching",0,0
"Dyspepsia",3,"8Hg5.","discharged from care of dyspepsia specialist nurse",0,1
"Dyspepsia",3,"8Hl0.","Referral to dyspepsia specialist nurse",0,0
"Dyspepsia",3,"9NNK.","under care of dyspepsia specialist nurse",0,0
"Dyspepsia",3,"E2644","psychogenic dyspepsia",0,0
"Dyspepsia",3,"J101.","oesophagitis",0,0
"Dyspepsia",3,"J1011","acid reflux",0,0
"Dyspepsia",3,"J1012","chemical oesophagitis",0,0
"Dyspepsia",3,"J101y","other specified oesophagitis",0,0
"Dyspepsia",3,"J101z","oesophagitis nos",0,0
"Dyspepsia",3,"J1020","ulcerative oesophagitis",0,0
"Dyspepsia",3,"J10y4","acid reflux",0,1
"Dyspepsia",3,"J16y4","dyspepsia",0,0
"Dyspepsia",3,"J16yA","non-ulcer dyspepsia",0,1
"Dyspepsia",3,"X3003","acid reflux",0,1
"Dyspepsia",3,"X3004","biliary oesophagitis",0,1
"Dyspepsia",3,"X3007","barrett's oesophagus with oesophagitis",0,1
"Dyspepsia",3,"X3008","non-reflux oesophagitis",0,1
"Dyspepsia",3,"X301d","non-ulcer dyspepsia",0,1
"Dyspepsia",3,"X76d4","indigestion nos",0,0
"Dyspepsia",3,"X76d5","flatulent dyspepsia",0,0
"Dyspepsia",3,"X77H1","acid reflux status",0,1
"Dyspepsia",3,"X7948","regurgitated food",0,1
"Dyspepsia",3,"XC0BB","regurgitation",0,1
"Dyspepsia",3,"XE0aL","reflux oesophagitis",0,0
"Dyspepsia",3,"XE0bv","oesophagitis",0,1
"Dyspepsia",3,"XE0cB","dyspepsia",0,1
"Dyspepsia",3,"XM08H","acid reflux",0,1
"Dyspepsia",3,"Xa1q7","peptic oesophagitis",0,0
"Dyspepsia",3,"Xa7MX","drug-induced dyspepsia",0,1
"Dyspepsia",3,"Xa96h","regurgitation",0,1
"Dyspepsia",3,"XaKbv","discharged from care of dyspepsia specialist nurse",0,1
"Dyspepsia",3,"XaKbw","Under care of dyspepsia specialist nurse",0,0
"Dyspepsia",3,"XaLRu","Undiagnosed dyspepsia",0,0
"Dyspepsia",3,"XaMDx","Referral to dyspepsia specialist nurse",0,0
"Dyspepsia",3,"a24x.","pepcidtwo chewable indigestion tablet",1,1
"Dyspepsia",3,"x02AL","pepcid ac indigestion tablet",1,1
"Dysphagia",2,"194..","Swallowing symptoms",0,0
"Dysphagia",2,"1942.","Difficulty swallowing solids",0,0
"Dysphagia",2,"1943.","Difficulty swallowing liquids",0,0
"Dysphagia",2,"1944.","Painful swallowing",0,0
"Dysphagia",2,"194Z.","Swallowing symptom NOS",0,0
"Dysphagia",2,"1952.","Regurgitates food",0,0
"Dysphagia",2,"1CB2.","Choking sensation",0,0
"Dysphagia",2,"8E42.","Swallowing defect amelioration",0,0
"Dysphagia",2,"9Oq7.","Dysphagia screening completed",0,0
"Dysphagia",2,"D00y0","Sideropenic dysphagia",0,0
"Dysphagia",2,"H470.","Pneumonitis due to inhalation of food or vomitus",0,0
"Dysphagia",2,"H4700","Pneumonitis due to inhalation of regurgitated food",0,0
"Dysphagia",2,"H5C..","Choking due to airways obstruction",0,0
"Dysphagia",2,"J100.","Cardiospasm - oesophagus",0,0
"Dysphagia",2,"Q311.","Massive aspiration syndrome",0,0
"Dysphagia",2,"Q311z","Massive aspiration syndrome NOS",0,0
"Dysphagia",2,"R04z0","[D]Choking sensation",0,0
"Dysphagia",2,"R072.","[D]Dysphagia",0,0
"Dysphagia",2,"R0720","[D]Difficulty in swallowing",0,0
"Dysphagia",2,"R072z","[D]Dysphagia NOS",0,0
"Dysphagia",2,"SG31.","Choked on regurgitated food",0,0
"Dysphagia",2,"TB14.","Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure",0,0
"Dysphagia",2,"TB14z","Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure",0,0
"Dysphagia",2,"TF1..","Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation",0,0
"Dysphagia",2,"TF10.","Asphyxia by food",0,0
"Dysphagia",2,"TF102","Asphyxia by regurgitated food",0,0
"Dysphagia",2,"TF11.","Choked on food",0,0
"Dysphagia",2,"TF112","Choked on regurgitated food",0,0
"Dysphagia",2,"TF11z","Choked on food NOS",0,0
"Dysphagia",2,"TF12.","Suffocation by food",0,0
"Dysphagia",2,"TF13.","Respiratory obstruction due to food lodged in oesophagus",0,0
"Dysphagia",2,"TF130","Tracheal compression due to food lodged in oesophagus",0,0
"Dysphagia",2,"TF131","Interruption of respiration due to food lodged in oesophagus",0,0
"Dysphagia",2,"TF132","Respiratory obstruction due to food lodged in oesophagus",0,0
"Dysphagia",2,"TF133","Obstruction of pharynx by food",0,0
"Dysphagia",2,"TF13z","Respiratory obstruction due to food lodged in oesophagus NOS",0,0
"Dysphagia",2,"TF1z.","Inhalation and ingestion of food causing respiratory obstruction or suffocation NOS",0,0
"Dysphagia",2,"U144.","[X]Inhalation and ingestion of food causing obstruction of respiratory tract",0,0
"Dysphagia",2,"U1441","[X]Inhalation and ingestion of food causing obstruction of respiratory tract, occurrence in residential institution",0,0
"Dysphagia",2,"U144z","[X]Inhalation and ingestion of food causing obstruction of respiratory tract, occurrence at unspecified place",0,0
"Dysphagia",2,"ZD34.","",0,0
"Dysphagia",2,"ZD51.","",0,0
"Dysphagia",2,"ZD53.","",0,0
"Dysphagia",2,"ZD541","",0,0
"Dysphagia",2,"ZV416","[V]Problem with swallowing or mastication",0,0
"Dysphagia",3,".194.","Swallowing symptoms",0,0
"Dysphagia",3,".1942","Difficulty swallowing solids",0,0
"Dysphagia",3,".1943","Difficulty swallowing liquids",0,0
"Dysphagia",3,".1944","Swallowing painful",0,0
"Dysphagia",3,".194Z","Swallowing symptom NOS",0,0
"Dysphagia",3,".1952","Regurgitates food",0,0
"Dysphagia",3,".8E42","Swallowing defect amelioration",0,0
"Dysphagia",3,".I211","Achalasia of cardia",0,0
"Dysphagia",3,".Q4C1","Asphyxia by inhalation of food",0,0
"Dysphagia",3,".R4Z0","[D]Choking sensation",0,0
"Dysphagia",3,".R72.","[D]Dysphagia",0,0
"Dysphagia",3,".R720","[D]Difficulty in swallowing",0,0
"Dysphagia",3,".R72Z","[D]Dysphagia NOS",0,0
"Dysphagia",3,"194..","Swallowing symptoms",0,0
"Dysphagia",3,"1942.","Difficulty swallowing solids",0,0
"Dysphagia",3,"1943.","Difficulty swallowing liquids",0,0
"Dysphagia",3,"1944.","Swallowing painful",0,0
"Dysphagia",3,"194Z.","Swallowing symptom NOS",0,0
"Dysphagia",3,"1952.","Regurgitates food",0,0
"Dysphagia",3,"1CB2.","Choking sensation",0,0
"Dysphagia",3,"8E42.","Swallowing defect amelioration",0,0
"Dysphagia",3,"9Oq7.","Dysphagia screening completed",0,0
"Dysphagia",3,"D00y0","Sideropenic dysphagia",0,0
"Dysphagia",3,"H470.","Pneumonitis due to inhalation of food or vomitus",0,0
"Dysphagia",3,"H4700","Pneumonitis due to inhalation of regurgitated food",0,0
"Dysphagia",3,"H5C..","Choking due to airways obstruction",0,0
"Dysphagia",3,"J100.","Achalasia of cardia",0,0
"Dysphagia",3,"Q311.","Neonatal massive aspiration syndrome",0,0
"Dysphagia",3,"Q311z","Massive aspiration syndrome NOS",0,0
"Dysphagia",3,"R04z0","[D]Choking sensation",0,0
"Dysphagia",3,"R072.","[D]Dysphagia",0,0
"Dysphagia",3,"R0720","[D]Difficulty in swallowing",0,0
"Dysphagia",3,"R072z","[D]Dysphagia NOS",0,0
"Dysphagia",3,"SG31.","Choked on regurgitated food",0,0
"Dysphagia",3,"TB14.","Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure",0,0
"Dysphagia",3,"TB14z","Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure",0,0
"Dysphagia",3,"TF1..","Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation",0,0
"Dysphagia",3,"TF10.","Asphyxia by inhalation of food",0,0
"Dysphagia",3,"TF102","Asphyxia by regurgitated food in air passages",0,0
"Dysphagia",3,"TF11.","Choked on food",0,0
"Dysphagia",3,"TF112","Choked on regurgitated food",0,0
"Dysphagia",3,"TF11z","Choked on food NOS",0,0
"Dysphagia",3,"TF12.","Choked on food",0,0
"Dysphagia",3,"TF13.","Respiratory obstruction due to food lodged in oesophagus",0,0
"Dysphagia",3,"TF130","Tracheal compression due to food lodged in oesophagus",0,0
"Dysphagia",3,"TF131","Interruption of respiration due to food lodged in oesophagus",0,0
"Dysphagia",3,"TF132","Respiratory obstruction due to food lodged in oesophagus",0,0
"Dysphagia",3,"TF133","Obstruction of pharynx by food",0,0
"Dysphagia",3,"TF13z","Respiratory obstruction due to food lodged in oesophagus NOS",0,0
"Dysphagia",3,"TF1z.","Inhalation and ingestion of food causing respiratory obstruction or suffocation NOS",0,0
"Dysphagia",3,"U144.","[X]Inhalation and ingestion of food causing obstruction of respiratory tract",0,0
"Dysphagia",3,"U1441","[X]Inhalation and ingestion of food causing obstruction of respiratory tract, occurrence in residential institution",0,0
"Dysphagia",3,"U144z","[X]Inhalation and ingestion of food causing obstruction of respiratory tract, occurrence at unspecified place",0,0
"Dysphagia",3,"XE0r7","Swallowing symptoms",0,0
"Dysphagia",3,"XE0r8","Regurgitates food",0,0
"Dysphagia",3,"XE1eo","Massive aspiration syndrome NOS",0,0
"Dysphagia",3,"XM08J","Dysphagia",0,0
"Dysphagia",3,"XaW9A","Dysphagia screening completed",0,0
"Dysphagia",3,"ZD34.","",0,0
"Dysphagia",3,"ZD51.","",0,0
"Dysphagia",3,"ZD53.","",0,0
"Dysphagia",3,"ZD541","",0,0
"Dysphagia",3,"ZV416","[V]Problem with swallowing or mastication",0,0
"Dyspnoea",2,"173..","breathlessness",0,0
"Dyspnoea",2,"1732.","breathless - moderate exertion",0,0
"Dyspnoea",2,"1733.","breathless - mild exertion",0,0
"Dyspnoea",2,"1734.","breathless - at rest",0,0
"Dyspnoea",2,"1735.","orthopnoea symptom",0,0
