"source","field","desc"
"matt",34,"birth_year"
"matt",52,"birth_month"
"matt",53,"date_attendassessmentcentre"
"matt",54,"assessment_centre"
"matt",40000,"death_date"
"matt",40007,"death_age"
"matt",40005,"cancer_date"
"icd10",40006,"cancer_type10"
"icd9",40013,"cancer_type9"
"matt",40008,"cancer_age"
"matt",21001,"bmi"
"matt",20116,"smoking_status"
"yangfan",31,"sex_reported"
"juliet",21003,"age_attendassessmentcentre"
"sam",21000,"ethn_selfrep"
"sam",189,"townsend"
"matt",26410,"imd_england"
"matt",26426,"imd_wales"
"matt",26427,"imd_scotland"